timestamp,entropy,enthalpy_mean,dissipation,info_flux,rest_flag,rest_reason,rest_entropy,rest_enthalpy,rest_triggers_fatigue,rest_triggers_loop,rest_triggers_overload
2025-09-01T00:00:00,8.317765951181602,9.386772574914837e-05,0.029689745534248004,4.46097766920829e-05,0,,,,,,
2025-09-03T00:00:00,8.31776534539053,0.00018678046517648592,0.05908259361315354,8.760122148957762e-05,0,,,,,,
2025-09-05T00:00:00,8.317764383535817,0.00027873442189426274,0.08817705974943987,0.0001291210404696018,1,loop,8.317718834319926,0.0016202790304445079,False,True,False
2025-09-07T00:00:00,8.317763098767673,0.0003697265813078483,0.11697191924110374,0.00016929405323827878,0,,,,,,
2025-09-08T00:00:00,8.317761520005947,0.0004597546698949423,0.1454661937739176,0.00020822779443247365,0,,,,,,
2025-09-10T00:00:00,8.317759672655725,0.0005488171162553539,0.17365913860492316,0.00024601565870962947,1,loop,8.317706532941699,0.0018445420701940025,False,True,False
2025-09-12T00:00:00,8.317757560564303,0.00063754797752869,0.20175106514419835,0.0002830410287117527,0,,,,,,
2025-09-14T00:00:00,8.3177552392908,0.0007246705891296296,0.22933798151634738,0.0003187612940869444,0,,,,,,
2025-09-15T00:00:00,8.317752709896517,0.0008108266669003929,0.2566226053979829,0.0003535535516059621,1,loop,8.317693525378239,0.002061189857410563,False,True,False
2025-09-17T00:00:00,8.317749988433578,0.0008960170966346786,0.28360501072625977,0.000387474016212069,0,,,,,,
2025-09-19T00:00:00,8.317747089409249,0.000980243295327831,0.3102854487472838,0.0004205728505647664,0,,,,,,
2025-09-21T00:00:00,8.317744025995424,0.0010635071814292713,0.336664338219757,0.00045289500400999593,1,loop,8.317680054640892,0.002269127537711614,False,True,False
2025-09-22T00:00:00,8.317740810203558,0.0011458111464123278,0.3627422560510368,0.0004844809136325649,0,,,,,,
2025-09-24T00:00:00,8.317737453031562,0.0012271580276068512,0.3885199283477057,0.0005153670936159184,0,,,,,,
2025-09-26T00:00:00,8.317733964587852,0.001307551082242221,0.41399822186346824,0.0005455866334986076,1,loop,8.317666186143114,0.00246918053149589,False,True,False
2025-09-28T00:00:00,8.317730315528419,0.0013876289263207648,0.4393789706690944,0.0005754713374496385,0,,,,,,
2025-09-01T00:00:00,8.317726591218946,0.0014661191962930342,0.4642596206329902,0.0006044343007510021,0,,,,,,
2025-09-03T00:00:00,8.317722761665202,0.0015436676626554287,0.48884424601551124,0.0006328142589997956,0,,,,,,
2025-09-05T00:00:00,8.317718834319926,0.0016202790304445079,0.5131341997786552,0.000660634129343254,1,loop,8.317718834319926,0.0016202790304445079,False,True,False
2025-09-07T00:00:00,8.317714816141951,0.0016959583110019868,0.5371309380862579,0.0006879150229231399,0,,,,,,
2025-09-08T00:00:00,8.317710713645269,0.0017707108023049302,0.5608360138161166,0.0007146764397522896,0,,,,,,
2025-09-10T00:00:00,8.317706532941699,0.0018445420701940025,0.5842510703670223,0.0007409364391474194,1,loop,8.317706532941699,0.0018445420701940025,False,True,False
2025-09-12T00:00:00,8.317702227619261,0.0019180928941324774,0.6075786705895779,0.0007670134979183298,0,,,,,,
2025-09-14T00:00:00,8.317697907460264,0.0019900929354796097,0.6304169434333697,0.0007923088861320687,0,,,,,,
2025-09-15T00:00:00,8.317693525378239,0.002061189857410563,0.6529706026174403,0.0008171507745441276,1,loop,8.317693525378239,0.002061189857410563,False,True,False
2025-09-17T00:00:00,8.317689086203933,0.002131390131468418,0.6752415989293682,0.0008415526442910202,0,,,,,,
2025-09-19T00:00:00,8.317684594512048,0.002200700415133037,0.6972319466316108,0.0008655271494045105,0,,,,,,
2025-09-21T00:00:00,8.317680054640892,0.002269127537711614,0.7189437187999136,0.0008890861912378208,1,loop,8.317680054640892,0.002269127537711614,False,True,False
2025-09-22T00:00:00,8.317675470709863,0.002336678486893681,0.7403790428800217,0.0009122409853988854,0,,,,,,
2025-09-24T00:00:00,8.317670846635039,0.0024033603959425,0.7615400964534853,0.0009350021218825924,0,,,,,,
2025-09-26T00:00:00,8.317666186143114,0.00246918053149589,0.7824291032037215,0.0009573796190887853,1,loop,8.317666186143114,0.00246918053149589,False,True,False
2025-09-28T00:00:00,8.317661425298617,0.0025347812456209618,0.8032491639150618,0.0009796846763684352,0,,,,,,
